1,b744,Boeing,B747-400,4,PW4056,22.89,982,0.26,92136845,416,10250,14500,7140605,330,2,13,4,4,0
2,a388,Airbus,A380-800,7,RR Trent 972,22.26,1048,0.26,215629503,600,9680,14500,6468885,450,2,18,6,16,0
3,b738,Boeing,B737-800,8,CFM56-7B27,9.4,725,0.12,4407858,184,7550,7000,231413,470,2,4,2,2,0
4,a3192,Airbus,A319-200,10,CFM56-5,8.4,834,0.1,5093525,117,6850,7000,292878,470,2,3,2,2,0
5,a322,Airbus,A320-200,10,CFM56-5,11.55,880,0.14,6770196,164,7000,5700,524690,360,2,4,2,2,0
6,md80,McDonnell Douglas,MD80,12,P&W JT8D-219,17.44,867,0.2,2161616,130,2000,6000,210758,340,2,4,2,3,0
7,a333,Airbus,A330-300,15,RR Trent 700,19.26,958,0.22,43330073,335,9090,10000,3033105,450,2,11,2,2,0
8,a343,Airbus,A340-300,19,CFM56-5C4P,21.4,1003,0.25,55469568,335,10200,14000,3605522,470,2,10,2,2,0
9,crj200,Bombardier,CRJ 200,20,GE CF34-3B1,6.72,801,0.09,621621,50,2000,3500,41959,450,2,2,1,1,0
10,bae146,British Aerospace,BAe146,21,Honeywell ALF 502R-5,9.3,675,0.12,762450,85,6500,2000,68621,330,2,2,1,1,0
11,challenger300,Bombardier,Challenger 300,22,GE CF34-3A,10.1,944,0.12,223915,16,3500,3000,8397,480,2,1,1,1,0
12,c172,Cessna,Cessna 172,23,Lycomming IO-360-L2A,3.76,221,0.05,51000,3,2500,1000,2341,400,1,0,1,1,0
13,b752,Boeing,B757-200,27,PW2043,12.96,867,0.15,9723701,200,7800,7222,899442,370,2,5,2,3,0
14,concorde,Aerospatiale,Concorde,28,RR/SNECMA Olympus 593 MK610 Afterburning,48.88,1932,0.65,407808000,120,11800,7500,43839360,330,4,15,2,25,0
15,b772lr,Boeing,B777-200LR,30,GE90-115B,19.19,986,0.24,65912406,300,11000,14500,2142153,490,2,10,2,3,0
16,a3212,Airbus,A321-200,10,CFM56-5,18.9,834,0.15,8154432,220,7250,6000,509652,500,2,4,2,2,0
17,b788,Boeing,B787-8,31,RR Trent 1000,15.2,821,0.2,19411920,250,9000,14500,679417,450,2,8,2,2,0
18,legacy60,Embraer,Legacy 600,33,RR AE3007,8,783,0.1,360159,13,2000,6060,17108,490,2,1,1,1,0
19,erj191ar,Embraer,ERJ 190-100AR,34,GE CF34-10E,10.1,870,0.12,2472381,110,2000,4448,86533,490,2,2,1,1,0
20,a346,Airbus,A340-600,35,RR Trent 556,20.68,870,0.28,69887329,380,10200,14630,3144930,460,2,11,2,2,0
21,b762er,Boeing,B767-200ER,37,GE CF6-80C2,16.32,995,0.2,14114834,224,7800,12200,1305622,350,2,7,2,4,0
22,atr7250,Aerospatiale,ATR 72-500,38,PW127M,11.44,552,0.14,365902,64,6500,1650,20125,480,2,2,1,1,0
23,atr4250,Aerospatiale,ATR 42-500,39,PW127E,14.88,550,0.2,122750,50,6500,1611,10741,340,2,2,1,1,0
24,md11,McDonnell Douglas,MD-11,40,PW4460,24.48,928,0.3,57269139,410,2000,12655,4724704,370,3,13,4,5,0
25,dhc8q4,Bombardier,DHC-8-Q400,43,PW150A,9.9,733,0.11,804752,70,2000,2522,38226,480,2,2,1,2,0
26,sj1095,Sukhoi,Superjet 100-95,44,SaM146,9.63,839,0.11,1610270,98,2000,2950,32205,500,2,2,1,2,0
27,b722,Boeing,B727-200,45,JT8D-7,15.15,972,0.19,4883110,189,6450,4450,671428,340,3,8,2,5,0
28,a359,Airbus,A350-900,46,RR Trent XWB,15.98,859,0.21,70503048,314,8760,14500,1410061,550,2,10,2,3,0
29,tu154,Tupolev,Tu-154,47,Soloviev D-30KU-154,14.88,893,0.2,5107721,180,2000,5280,600157,390,3,8,2,4,0
30,l10112,Lockheed,L-1011-200,48,RR RB211-524B,17.28,837,0.22,24777200,263,2000,7420,2663549,370,3,9,2,4,0
31,b773er,Boeing,B777-300ER,30,GE90-115B,19.19,1035,0.24,68243786,350,11000,14685,2900361,460,2,11,2,3,0
32,b753,Boeing,B757-300,27,PW2043,18.36,867,0.21,7002640,243,7800,6421,367639,470,2,9,2,5,0
33,a3181,Airbus,A318-100,10,CFM56-5,8.4,834,0.1,4380431,117,6500,6020,175217,450,2,3,2,3,0
34,b731,Boeing,B737-100,45,JT8D-7,12.12,795,0.15,1514699,118,7550,3440,193124,360,2,4,2,7,0
35,b748,Boeing,B747-8,50,GEnx-2B67,21.84,1096,0.26,121097727,467,10250,14815,4238420,500,2,13,6,5,0
36,b763er,Boeing,B767-300ER,51,RR RB211-524H,20.2,936,0.25,33435451,269,7800,11065,2674836,370,2,9,2,5,0
37,b764er,Boeing,B767-400ER,37,GE CF6-80C2,21.42,927,0.26,33694208,304,7800,10415,2695537,360,2,10,2,5,0
38,a332,Airbus,A330-200,15,RR Trent 700,18.19,958,0.21,43631874,253,9090,12500,2290673,460,2,8,2,4,0
39,a342,Airbus,A340-200,17,CFM56-5C3,18.18,949,0.22,15688189,239,9810,14800,1019732,500,2,8,2,5,0
40,a345,Airbus,A340-500,52,RR Trent 553,17.1,861,0.24,66262163,313,10200,14500,2816142,480,2,10,2,4,0
41,b737,Boeing,B737-700,53,CFM 56-7,10.45,761,0.14,4085576,149,7550,6230,214493,500,2,4,2,3,0
42,b737er,Boeing,B737-700ER,54,CFM56-7B,10.78,770,0.14,5656525,126,7550,10200,169696,460,2,2,2,3,0
43,b737c,Boeing,B737-700C,55,CFM56-7,11.11,831,0.14,3118288,120,7550,5940,171506,480,2,2,2,3,0
44,b734,Boeing,B737-400,56,CFM-56-3B-2,14,733,0.18,3282313,159,7550,4010,270791,330,2,4,2,5,0
45,b735,Boeing,B737-500,57,CFM-56-3B-1,11.7,717,0.16,1856353,123,7550,4449,148508,370,2,5,2,6,0
46,b736,Boeing,B737-600,53,CFM 56-7,11.4,761,0.15,2460985,110,7550,5648,129202,480,2,3,1,4,0
47,a3b22,Airbus,A300B2-200,58,CF6-50C,19.08,863,0.22,11605297,269,7625,3430,1305596,350,3,9,2,5,0
48,b739er,Boeing,B737-900ER,55,CFM56-7,11.11,831,0.14,9225912,215,7550,5925,507425,500,2,5,2,2,0
49,a3b42,Airbus,A300B4-200,58,CF6-50C,19.08,863,0.22,21315852,269,7625,6300,1971716,330,3,9,2,5,0
50,b739,Boeing,B737-900,55,CFM56-7,10.1,836,0.12,5535200,177,7550,3815,193732,470,2,4,2,2,0
51,a306,Airbus,A300-600,63,PW-4158,17.17,980,0.21,24683135,267,7625,6670,2098066,330,2,9,2,5,0
