id,name,fullname,country,continent,iata,icao,lat,lng,rwy,market,hub_cost,rwy_codes
1,Honiara,Honiara International Airport,Solomon Islands,Oceania,HIR,AGGH,-9.4280004501343,160.05499267578,7218,55,213300,06/24
2,Munda,Munda Airport,Solomon Islands,Oceania,MUA,AGGM,-8.327969551086426,157.26300048828125,4593,69,6000,07/25
3,Yaren District,Nauru International Airport,Nauru,Oceania,INU,ANYN,-0.547458,166.919006,7054,50,237000,12/30
4,Buka Island,Buka Airport,Papua New Guinea,Oceania,BUA,AYBK,-5.4223198890686035,154.67300415039062,5125,65,12000,04/22
5,Kundiawa,Chimbu Airport,Papua New Guinea,Oceania,CMU,AYCH,-6.024290084838867,144.9709930419922,3330,90,12000,03/21
6,Daru,Daru Airport,Papua New Guinea,Oceania,DAU,AYDU,-9.08675956726,143.207992554,4593,46,12000,14/32
7,Goroka,Goroka Airport,Papua New Guinea,Oceania,GKA,AYGA,-6.081689834590001,145.391998291,5400,88,12000,17L/35R
8,Gurney,Gurney Airport,Papua New Guinea,Oceania,GUR,AYGN,-10.3114995956,150.333999634,5546,76,12000,09/27
9,Popondetta,Girua Airport,Papua New Guinea,Oceania,PNP,AYGR,-8.80453968048,148.309005737,5485,88,12000,03/21
10,Hoskins,Kimbe Airport,Papua New Guinea,Oceania,HKN,AYHK,-5.462170124053955,150.40499877929688,5212,44,12000,12/30
11,Kerema,Kerema Airport,Papua New Guinea,Oceania,KMA,AYKM,-7.96361017227,145.770996094,3044,87,12000,14/32
12,Kavieng,Kavieng Airport,Papua New Guinea,Oceania,KVG,AYKV,-2.57940006256,150.807998657,5592,37,12000,12/30
13,Madang,Madang Airport,Papua New Guinea,Oceania,MAG,AYMD,-5.20707988739,145.789001465,5174,68,12000,07/25
14,Mount Hagen,Mount Hagen Kagamuga Airport,Papua New Guinea,Oceania,HGU,AYMH,-5.826789855957031,144.29600524902344,7185,33,12000,08/26
15,Mendi,Mendi Airport,Papua New Guinea,Oceania,MDU,AYMN,-6.14774,143.656998,4411,84,12000,17/35
16,Manus Island,Momote Airport,Papua New Guinea,Oceania,MAS,AYMO,-2.06189,147.423996,6136,82,12000,16/34
17,Lae,Nadzab Airport,Papua New Guinea,Oceania,LAE,AYNZ,-6.569803,146.725977,8004,66,12000,09/27
18,Port Moresby,Port Moresby Jacksons International Airport,Papua New Guinea,Oceania,POM,AYPY,-9.443380355834961,147.22000122070312,9022,41,237000,14L/32R
19,Tokua,Tokua Airport,Papua New Guinea,Oceania,RAB,AYTK,-4.34045982361,152.380004883,5643,45,12000,10/28
20,Vanimo,Vanimo Airport,Papua New Guinea,Oceania,VAI,AYVN,-2.6926,141.3028,5775,88,12000,12/30
21,Wapenamanda,Wapenamanda Airport,Papua New Guinea,Oceania,WBM,AYWD,-5.6433000564575195,143.89500427246094,5052,44,12000,14/32
22,Wewak,Wewak International Airport,Papua New Guinea,Oceania,WWK,AYWK,-3.58383011818,143.669006348,5234,86,12000,10/28
23,Aasiaat,Aasiaat Airport,Greenland,North America,JEG,BGAA,68.7218017578,-52.7846984863,2621,64,6000,12/30
24,Narsarsuaq,Narsarsuaq Airport,Greenland,North America,UAK,BGBW,61.1604995728,-45.4259986877,6004,90,6000,07/25
25,Nuuk,Godthaab / Nuuk Airport,Greenland,North America,GOH,BGGH,64.19090271,-51.6781005859,3117,33,213300,05/23
