id,icao,hub_cost,done,yd,jd,fd
1,AGGH,213300,True,1142.0,389.0,254.0
2,AGGM,6000,True,16.0,8.0,4.0
3,ANYN,237000,True,1910.0,276.0,149.0
4,AYBK,12000,True,,,
5,AYCH,12000,True,,,
6,AYDU,12000,True,,,
7,AYGA,12000,True,48.0,34.0,16.0
8,AYGN,12000,True,,,
9,AYGR,12000,True,,,
10,AYHK,12000,True,,,
11,AYKM,12000,True,,,
12,AYKV,12000,True,,,
13,AYMD,12000,True,,,
14,AYMH,12000,True,,,
15,AYMN,12000,True,,,
16,AYMO,12000,True,85.0,16.0,10.0
17,AYNZ,12000,True,,,
18,AYPY,237000,True,1308.0,283.0,196.0
19,AYTK,12000,True,,,
20,AYVN,12000,True,55.0,25.0,17.0
21,AYWD,12000,True,,,
22,AYWK,12000,True,53.0,25.0,12.0
23,BGAA,6000,True,,,
24,BGBW,6000,True,18.0,11.0,2.0
25,BGGH,213300,True,1406.0,534.0,165.0
26,BGSF,6000,True,15.0,13.0,3.0
27,BIAR,24000,True,124.0,80.0,12.0
28,BIEG,24000,True,121.0,42.0,32.0
29,BIHN,24000,True,157.0,62.0,22.0
30,BIHU,24000,True,,,
31,BIIS,24000,True,219.0,49.0,15.0
32,BIKF,237000,True,1639.0,449.0,120.0
33,BIRK,24000,True,194.0,38.0,12.0
34,BISI,24000,True,,,
35,BIVM,24000,True,81.0,48.0,33.0
36,BKPR,237000,True,1412.0,335.0,276.0
37,CYAC,48000,True,,,
38,CYAG,48000,True,252.0,161.0,77.0
39,CYAH,48000,True,,,
40,CYAL,48000,True,305.0,129.0,18.0
41,CYAM,48000,True,,,
42,CYAQ,48000,True,,,
43,CYAS,48000,True,198.0,129.0,81.0
44,CYAT,48000,True,377.0,73.0,47.0
45,CYAY,48000,True,,,
46,CYAZ,48000,True,,,
47,CYBB,48000,True,,,
48,CYBC,48000,True,,,
49,CYBD,48000,True,313.0,211.0,43.0
50,CYBE,48000,True,,,
51,CYBF,48000,True,,,
53,CYBK,48000,True,213.0,216.0,34.0
54,CYBL,48000,True,222.0,232.0,38.0
55,CYBQ,48000,True,,,
56,CYBR,48000,True,209.0,242.0,52.0
57,CYBT,48000,True,,,
58,CYBV,48000,True,,,
59,CYBX,48000,True,,,
60,CYCA,48000,True,,,
61,CYCB,48000,True,333.0,108.0,74.0
62,CYCC,48000,True,,,
63,CYCD,48000,True,,,
64,CYCE,48000,True,243.0,85.0,99.0
65,CYCG,48000,True,,,
66,CYCH,48000,True,,,
67,CYCL,48000,True,,,
68,CYCN,48000,True,,,
69,CYCO,48000,True,,,
70,CYCQ,48000,True,,,
71,CYCR,48000,True,,,
72,CYCS,48000,True,347.0,65.0,39.0
73,CYCY,48000,True,,,
74,CYDA,48000,True,243.0,169.0,16.0
75,CYDB,48000,True,,,
76,CYDF,48000,True,417.0,97.0,54.0
77,CYDM,48000,True,,,
78,CYDN,48000,True,,,
79,CYDO,48000,True,,,
80,CYDP,48000,True,,,
81,CYDQ,48000,True,,,
82,CYEG,48000,True,501.0,80.0,62.0
83,CYEK,48000,True,,,
84,CYEL,48000,True,,,
85,CYEM,48000,True,,,
86,CYEN,48000,True,,,
87,CYER,48000,True,,,
88,CYET,48000,True,,,
89,CYEV,48000,True,275.0,222.0,20.0
90,CYEY,48000,True,244.0,240.0,30.0
91,CYFA,48000,True,,,
92,CYFB,48000,True,,,
93,CYFC,48000,True,210.0,153.0,41.0
94,CYFE,48000,True,,,
95,CYFH,48000,True,,,
96,CYFJ,48000,True,,,
97,CYFO,48000,True,235.0,72.0,75.0
98,CYFR,48000,True,,,
99,CYFS,48000,True,,,
100,CYFT,48000,True,,,
101,CYGB,48000,True,,,
102,CYGH,48000,True,,,
103,CYGK,48000,True,189.0,198.0,46.0
104,CYGL,48000,True,,,
